country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year,gdp_for_year ($),gdp_per_capita ($),generation
Chile,2007,male,35-54 years,532,2247973,23.67,Chile2007,NA,173605968179,11387,Boomers
Chile,2007,male,15-24 years,302,1422332,21.23,Chile2007,NA,173605968179,11387,Millenials
Chile,2007,female,15-24 years,90,1375294,6.54,Chile2007,NA,173605968179,11387,Millenials
Chile,2007,female,25-34 years,74,1227488,6.03,Chile2007,NA,173605968179,11387,Generation X
Chile,2007,female,35-54 years,128,2272322,5.63,Chile2007,NA,173605968179,11387,Boomers
Chile,2007,female,55-74 years,42,1174419,3.58,Chile2007,NA,173605968179,11387,Silent
Chile,2007,female,75+ years,9,365832,2.46,Chile2007,NA,173605968179,11387,Silent
Chile,2007,male,5-14 years,19,1352835,1.4,Chile2007,NA,173605968179,11387,Generation Z
Chile,2007,female,5-14 years,9,1305466,0.69,Chile2007,NA,173605968179,11387,Generation Z
Colombia,2007,male,75+ years,67,378405,17.71,Colombia2007,NA,207416494642,5150,Silent
Colombia,2007,male,55-74 years,245,2018827,12.14,Colombia2007,NA,207416494642,5150,Silent
Colombia,2007,male,15-24 years,493,4248033,11.61,Colombia2007,NA,207416494642,5150,Millenials
Colombia,2007,male,25-34 years,410,3562854,11.51,Colombia2007,NA,207416494642,5150,Generation X
Colombia,2007,male,35-54 years,475,5364516,8.85,Colombia2007,NA,207416494642,5150,Boomers
Colombia,2007,female,15-24 years,208,4142290,5.02,Colombia2007,NA,207416494642,5150,Millenials
Colombia,2007,female,25-34 years,105,3633920,2.89,Colombia2007,NA,207416494642,5150,Generation X
Colombia,2007,female,35-54 years,82,5752377,1.43,Colombia2007,NA,207416494642,5150,Boomers
Colombia,2007,female,5-14 years,40,4066699,0.98,Colombia2007,NA,207416494642,5150,Generation Z
Colombia,2007,male,5-14 years,37,4234298,0.87,Colombia2007,NA,207416494642,5150,Generation Z
Colombia,2007,female,55-74 years,16,2339825,0.68,Colombia2007,NA,207416494642,5150,Silent
Colombia,2007,female,75+ years,3,533162,0.56,Colombia2007,NA,207416494642,5150,Silent
Costa Rica,2007,male,35-54 years,90,552299,16.3,Costa Rica2007,NA,26743874206,6661,Boomers
Costa Rica,2007,male,25-34 years,53,342197,15.49,Costa Rica2007,NA,26743874206,6661,Generation X
Costa Rica,2007,male,55-74 years,32,245529,13.03,Costa Rica2007,NA,26743874206,6661,Silent
Costa Rica,2007,male,15-24 years,46,414675,11.09,Costa Rica2007,NA,26743874206,6661,Millenials
Costa Rica,2007,male,75+ years,4,50648,7.9,Costa Rica2007,NA,26743874206,6661,Silent
Costa Rica,2007,female,15-24 years,20,399875,5,Costa Rica2007,NA,26743874206,6661,Millenials
Costa Rica,2007,female,25-34 years,11,337810,3.26,Costa Rica2007,NA,26743874206,6661,Generation X
Costa Rica,2007,female,35-54 years,9,561684,1.6,Costa Rica2007,NA,26743874206,6661,Boomers
Costa Rica,2007,female,55-74 years,3,255955,1.17,Costa Rica2007,NA,26743874206,6661,Silent
Costa Rica,2007,female,5-14 years,1,386007,0.26,Costa Rica2007,NA,26743874206,6661,Generation Z
Costa Rica,2007,male,5-14 years,1,403466,0.25,Costa Rica2007,NA,26743874206,6661,Generation Z
Costa Rica,2007,female,75+ years,0,65096,0,Costa Rica2007,NA,26743874206,6661,Silent
Croatia,2007,male,75+ years,85,101664,83.61,Croatia2007,NA,60093222709,14204,Silent
Croatia,2007,male,55-74 years,206,443939,46.4,Croatia2007,NA,60093222709,14204,Silent
Croatia,2007,male,35-54 years,198,637678,31.05,Croatia2007,NA,60093222709,14204,Boomers
Croatia,2007,female,75+ years,45,204595,21.99,Croatia2007,NA,60093222709,14204,Silent
Croatia,2007,male,25-34 years,52,312108,16.66,Croatia2007,NA,60093222709,14204,Generation X
Croatia,2007,female,55-74 years,84,533554,15.74,Croatia2007,NA,60093222709,14204,Silent
Croatia,2007,male,15-24 years,34,289325,11.75,Croatia2007,NA,60093222709,14204,Millenials
Croatia,2007,female,35-54 years,45,642644,7,Croatia2007,NA,60093222709,14204,Boomers
Croatia,2007,female,15-24 years,11,277133,3.97,Croatia2007,NA,60093222709,14204,Millenials
Croatia,2007,female,25-34 years,11,303954,3.62,Croatia2007,NA,60093222709,14204,Generation X
Croatia,2007,female,5-14 years,2,236481,0.85,Croatia2007,NA,60093222709,14204,Generation Z
Croatia,2007,male,5-14 years,2,247780,0.81,Croatia2007,NA,60093222709,14204,Generation Z
Cuba,2007,male,75+ years,186,241393,77.05,Cuba2007,NA,58603900000,5488,Silent
Cuba,2007,male,55-74 years,329,899694,36.57,Cuba2007,NA,58603900000,5488,Silent
Cuba,2007,male,35-54 years,370,1836069,20.15,Cuba2007,NA,58603900000,5488,Boomers
Cuba,2007,female,75+ years,49,310509,15.78,Cuba2007,NA,58603900000,5488,Silent
Cuba,2007,male,25-34 years,105,795644,13.2,Cuba2007,NA,58603900000,5488,Generation X
Cuba,2007,female,55-74 years,87,929079,9.36,Cuba2007,NA,58603900000,5488,Silent
Cuba,2007,male,15-24 years,49,821914,5.96,Cuba2007,NA,58603900000,5488,Millenials
Cuba,2007,female,35-54 years,93,1827402,5.09,Cuba2007,NA,58603900000,5488,Boomers
Cuba,2007,female,25-34 years,22,774006,2.84,Cuba2007,NA,58603900000,5488,Generation X
Cuba,2007,female,15-24 years,15,784753,1.91,Cuba2007,NA,58603900000,5488,Millenials
Cuba,2007,male,5-14 years,2,750899,0.27,Cuba2007,NA,58603900000,5488,Generation Z
Cuba,2007,female,5-14 years,0,706661,0,Cuba2007,NA,58603900000,5488,Generation Z
Cyprus,2007,male,75+ years,2,17897,11.18,Cyprus2007,NA,24077470572,33048,Silent
Cyprus,2007,male,25-34 years,4,55768,7.17,Cyprus2007,NA,24077470572,33048,Generation X
Cyprus,2007,male,15-24 years,3,63227,4.74,Cyprus2007,NA,24077470572,33048,Millenials
Cyprus,2007,male,55-74 years,3,67267,4.46,Cyprus2007,NA,24077470572,33048,Silent
Cyprus,2007,female,25-34 years,2,59428,3.37,Cyprus2007,NA,24077470572,33048,Generation X
Cyprus,2007,male,35-54 years,3,101951,2.94,Cyprus2007,NA,24077470572,33048,Boomers
Cyprus,2007,female,55-74 years,1,71415,1.4,Cyprus2007,NA,24077470572,33048,Silent
Cyprus,2007,female,35-54 years,1,109618,0.91,Cyprus2007,NA,24077470572,33048,Boomers
Cyprus,2007,female,15-24 years,0,60276,0,Cyprus2007,NA,24077470572,33048,Millenials
Cyprus,2007,female,5-14 years,0,47379,0,Cyprus2007,NA,24077470572,33048,Generation Z
Cyprus,2007,female,75+ years,0,24362,0,Cyprus2007,NA,24077470572,33048,Silent
Cyprus,2007,male,5-14 years,0,49978,0,Cyprus2007,NA,24077470572,33048,Generation Z
Czech Republic,2007,male,75+ years,109,229015,47.6,Czech Republic2007,NA,189227050760,19273,Silent
Czech Republic,2007,male,55-74 years,322,1047512,30.74,Czech Republic2007,NA,189227050760,19273,Silent
Czech Republic,2007,male,35-54 years,440,1434256,30.68,Czech Republic2007,NA,189227050760,19273,Boomers
Czech Republic,2007,male,25-34 years,176,888983,19.8,Czech Republic2007,NA,189227050760,19273,Generation X
Czech Republic,2007,male,15-24 years,100,690165,14.49,Czech Republic2007,NA,189227050760,19273,Millenials
Czech Republic,2007,female,75+ years,49,438726,11.17,Czech Republic2007,NA,189227050760,19273,Silent
Czech Republic,2007,female,55-74 years,72,1216178,5.92,Czech Republic2007,NA,189227050760,19273,Silent
Czech Republic,2007,female,35-54 years,73,1400706,5.21,Czech Republic2007,NA,189227050760,19273,Boomers
Czech Republic,2007,female,25-34 years,21,846092,2.48,Czech Republic2007,NA,189227050760,19273,Generation X
